timestamp	experiment	composite	SEO	PERF	A11Y	UX	SECURITY	CODE	CONTENT	MOBILE	issue_count
2026-03-25T14:21:54.907783	seo_robots_txt	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:22:21.303238	sec_xframe_permissions_policy	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:22:33.592210	sec_remove_console_logs	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:22:36.500891	sec_privacy_posthog	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:22:36.598151	sec_external_noopener	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:16.179819	ux_hero_cta_contrast	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:21.720687	ux_products_cta_text	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:21.818213	ux_testimonial_section	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:21.915579	ux_breadcrumbs	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:22.012238	ux_footer_newsletter	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:22.109936	sec_no_source_maps	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:22.207965	sec_privacy_opt_out	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:22.305276	sec_sri_external	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:23:33.704253	final_state_51_80	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:27:51.655568	perf_minimize_client_js	9.4	10.0	6.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:28:40.073382	perf_debug	9.4	10.0	6.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:31:21.604915	revert_perf_minimize_client_js	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:34:21.867414	perf_framer_motion_removal	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:37:30.036074	perf_remove_unused_deps	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
2026-03-25T14:37:52.560817	perf_css_purge_check	9.55	10.0	7.0	10.0	10.0	10.0	10.0	10.0	10.0	1
