"record_type","doc__type","doc__type_description","class_code_description","party1_type","party2_type","party3_type"
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","MORTGAGOR","NYC",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR","GRANTEE",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR","GRANTEE",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR","GRANTEE",
"D",,,"UCC AND FEDERAL LIENS","PARTY ONE","PARTY TWO",
"D",,,"UCC AND FEDERAL LIENS","PARTY ONE","PARTY TWO",
"D",,,"UCC AND FEDERAL LIENS","PARTY ONE","PARTY TWO",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGOR","MORTGAGEE",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGOR","MORTGAGEE",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGOR","MORTGAGEE",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY  1","PARTY  2",
"D",,,"MORTGAGES & INSTRUMENTS","ASSIGNOR","ASSIGNEE",
"D",,,"MORTGAGES & INSTRUMENTS","ASSIGNOR","ASSIGNEE",
"D",,,"MORTGAGES & INSTRUMENTS","PARTY ONE/MORTGAGOR","PARTY TWO/MORTGAGEE",
"D",,,"OTHER DOCUMENTS","DECEDENT",,
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGOR/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGOR/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGEE/LENDER",,
"D",,,"OTHER DOCUMENTS","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"OTHER DOCUMENTS","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"OTHER DOCUMENTS","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"UCC AND FEDERAL LIENS","PARTY 1","PARTY 2","PARTY 3"
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","PARTY 1","PARTY 2","PARTY 3"
"D",,,"OTHER DOCUMENTS","PARTY ONE","PARTY TWO",
"D",,,"OTHER DOCUMENTS","PARTY ONE","PARTY TWO",
"D",,,"OTHER DOCUMENTS","PARTY ONE","PARTY TWO",
"D",,,"OTHER DOCUMENTS","PARTY ONE","PARTY TWO",
"D",,,"OTHER DOCUMENTS","PARTY ONE","PARTY TWO",
"D",,,"MORTGAGES & INSTRUMENTS","PARTY 1","PARTY 2",
"D",,,"MORTGAGES & INSTRUMENTS","PARTY 1","PARTY 2",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY","ASSIGNEE"
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY","ASSIGNEE"
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY","ASSIGNEE"
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY","NEW SECURED PARTY"
